id,parent_id,tipo,sku,nombre,old_stock,new_stock,new_status,motivo
8690,0,simple,853237000202,NUTREX LIPO-6 CLA 45CT NUTREX,3,2,outofstock,actualizacion_inventario
8726,0,simple,748927023138,ON HMB 1000 MG 90 CAPSULAS,0,0,outofstock,actualizacion_inventario
8807,0,simple,7500634001853,BCAA+GLUTAMINE WITH HYDRAGEN COMPLEX SNOW CONE FORZAGEN,0,0,outofstock,actualizacion_inventario
8808,0,simple,7503018110158,BCAA+GLUTAMINE WITH HYDRAGEN COMPLEX BLUE RAZZ FORZAGEN,0,0,outofstock,actualizacion_inventario
8817,0,simple,7503018110141,BCAA+GLUTAMINE WITH HYDRAGEN COMPLEX PINEAPPLE FORZAGEN,0,0,outofstock,actualizacion_inventario
8822,0,simple,7503018110950,BCAA+GLUTAMINE WITH HYDRAGEN COMPLEX BLACKBERRY LEMONADE FORZAGEN,0,0,outofstock,actualizacion_inventario
8852,0,simple,850049150439,INT-CBUM-ITHOLATE-CHOCO-FL - 5LB (ISOLATADA),0,0,outofstock,actualizacion_inventario
8854,0,simple,7503013595844,LIPO CRUSH FAT BURNER FORZAGEN,0,0,outofstock,actualizacion_inventario
8871,0,simple,850049150453,INT-CBUM-ITHOLATE-CNC-FL - 5LB (ISOLATADA),1,1,outofstock,actualizacion_inventario
8872,0,simple,860007286995,RAW-PROTEIN-CHOCOLATE - 2LB (ISOLATADA),0,0,outofstock,actualizacion_inventario
8873,0,simple,860007357510,RAW-PROTEIN-VANILLA - 2LB (ISOLATADA),0,0,outofstock,actualizacion_inventario
8874,0,simple,860007286988,RAW-PROTEIN-COOKIES-N-CREAM - 2LB (ISOLATADA),0,0,outofstock,actualizacion_inventario
8878,0,simple,850039445613,RAW-EAA-ISLAND-SLUSHIE (AMINOACIDOS ESSENCIALES),2,1,outofstock,actualizacion_inventario
8901,0,simple,850049150262,ESSENTIAL-BURNER (QUEMADOR DE GRASA),6,6,outofstock,actualizacion_inventario
8926,0,simple,850049150477,INT-WHEY-BLEND-VANILLA-FL - 5LB (PROTEINA BLEND),1,1,outofstock,actualizacion_inventario
8930,0,simple,659153877009,PROTEINA COOKIES AND CREAM 5 LBS ANS,0,0,outofstock,actualizacion_inventario
8961,0,simple,628081005587,PROTEINA COOKIES AND CREAM 1.8 LBS ANS,0,0,outofstock,actualizacion_inventario
8963,0,simple,628081005600,PROTEINA STRAWBERRY 1.8 LBS ANS,0,0,outofstock,actualizacion_inventario
8964,0,simple,628081005594,PROTEINA PEANUT BUTTER CHOCOLATE 1.8 LBS ANS,0,0,outofstock,actualizacion_inventario
8966,0,simple,628081005341,PROTEINA MASS MILK CHOCOLATE 15 LBS ANS,0,0,outofstock,actualizacion_inventario
8967,0,simple,628081005358,PROTEINA MASS CREAMY VAINILLA 15 LBS ANS,0,0,outofstock,actualizacion_inventario
8968,0,simple,628081005372,PROTEINA MASS PEANUT BUTTER CHOCOLATE 15 LBS ANS,0,0,outofstock,actualizacion_inventario
8969,0,simple,628081005365,PROTEINA MASS COOKIES AND CREAM 15 LBS ANS,0,0,outofstock,actualizacion_inventario
8970,0,simple,628081005389,PROTEINA MASS SALTED CARAMEL 15 LBS ANS,1,0,outofstock,actualizacion_inventario
8989,0,simple,628081005396,PROTEINA MASS STRANVERRY 15 LBS ANS,0,0,outofstock,actualizacion_inventario
9068,0,simple,748927023824,PROTEINA ON SERIOUS MASS VAINILLA 12 LBS,0,0,outofstock,actualizacion_inventario
9070,0,simple,748927023008,PROTEINA ON SERIOUS MAS 6 LBS VAINILLA,0,0,outofstock,actualizacion_inventario
9072,0,simple,748927022995,PROTEINA ON SERIOUS MASS 6 LBS CHOCOLATE,0,0,outofstock,actualizacion_inventario
9078,0,simple,799142775371,PREMIUM WHEY 5 LBS BANANA SPLIT-LANDERFIT,0,0,outofstock,actualizacion_inventario
9084,0,simple,612590416170,PREMIUM WHEY DULCE DE LECHE 5LBS-LANDERFIT,0,0,outofstock,actualizacion_inventario
9085,0,simple,612590416231,PREMIUM WHEY ACAI 5 LBS-LANDERFIT,0,0,outofstock,actualizacion_inventario
9087,0,simple,612590416248,PREMIUM WHEY PEANUT BUTTER 5 LBS-LANDERFIT,0,0,outofstock,actualizacion_inventario
9092,0,simple,799142775388,PREMIUM WHEY 5 LBS CHOCOLATE PEANUT BUTTER-LANDERFIT,0,0,outofstock,actualizacion_inventario
9095,0,simple,611355572151,PREMIUM WHEY VAINILLA 5 LBS-LANDERFIT,0,0,outofstock,actualizacion_inventario
