id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,tipo_cambio
18935,18932,variation,7503018110479,WHEY PROTEIN 5 LBS CHOCO COCO,16,17,instock,instock,True,stock+/-
19072,19071,variation,748927066593,PROTEIN SHAKE CHOCOLATE 325 ML OPTIMUN NUTRICION,125,123,instock,instock,True,stock+/-
19063,19061,variation,650076635264,VMS-PROTEIN ISOLATE- HIDROLIZED BIO-ACTIVE- CHOCOLATE5 LBS,68,65,instock,instock,True,stock+/-
14430,0,simple,812590416028,MELATONINA 5 MG 120 CAPSULAS- LANDERFIT,21,20,instock,instock,True,stock+/-
19749,19744,variation,810121056660,ISOJECT CHOCOLATE - 25 SRV EVOGEN,3,1,outofstock,instock,True,stock+/-
19819,19817,variation,748927028652,GOLD STANDAR WHEY VAINILLA ICE CREAN 1.98 LBS,26,27,instock,instock,True,stock+/-
9203,0,simple,799142775395,MUSCLE PUMP FRUIT PUNCH 30 SERV LANDERFIT,6,4,outofstock,instock,True,stock+/-
19010,19008,variation,612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,46,43,instock,instock,True,stock+/-
19412,19402,variation,817189028240,EVP XTREME N.O. BLUEBERRY APPLE-EVOGEN,4,3,outofstock,instock,True,stock+/-
18194,18186,variation,608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,262,250,instock,instock,True,stock+/-
9190,0,simple,612590416057,CLA -2000 120 CAPSULAS- LANDERFIT,22,24,instock,instock,True,stock+/-
19759,19744,variation,810121056684,ISOJECT VAINILLA COLD BREW COOFFE 1.76 LBSEVOGEN,3,1,outofstock,instock,True,stock+/-
19308,19304,variation,810121057971,EVP 3D CITRUS CANDY- EVOGEN,10,6,outofstock,instock,True,stock+/-
19803,19800,variation,850060362675,WHEY 100% COOKIES AND CREAN 2LBS NUTREX,27,25,instock,instock,True,stock+/-
140,0,simple,811213027513,BPI MICRONIZED CREATINA 600G UNFLAVORED,111,109,instock,instock,True,stock+/-
19263,19253,variation,810121058978,AMINO K.E.M BLACK BERRY LEMONADE- EVOGEN,7,6,outofstock,instock,True,stock+/-
19855,19843,variation,748927051704,AMINO ENERGY GREEN APPLE 270 G,28,30,instock,instock,True,stock+/-
19414,19402,variation,817189024587,EVPXTREME SOUR WATERMELON,5,3,outofstock,instock,True,stock+/-
18189,18186,variation,703556204846,PROLIVE BIO5 CARAMEL PEANUT BUTTER DE 5 LBS IMPULSE,53,49,instock,instock,True,stock+/-
19345,19342,variation,810121055274,EVP XTREME VICTORY PUNCH EVOGEN,3,1,outofstock,instock,True,stock+/-
18875,18869,variation,703556204730,L CARNITINA 3500 RED & GREEN IMPULSE,8,7,instock,instock,True,stock+/-
21121,21118,variation,703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,7,6,outofstock,instock,True,stock+/-
108,0,simple,745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",37,36,instock,instock,True,stock+/-
19315,19304,variation,817189028257,EVP 3D BLUEBERRY APPLE-EVOGEN,9,10,instock,instock,True,stock+/-
19256,19253,variation,810121057988,AMINO K.E.M JUICY GRAPE-EVOGEN,5,4,outofstock,instock,True,stock+/-
19191,19183,variation,705016500420,ISO 100 BIRTHDAY CAKE 5 LBS DYMATIZE,16,20,instock,instock,True,stock+/-
18891,18887,variation,608631655431,CREATINA STIM PRO WATERMELON IMPULSE,42,46,instock,instock,True,stock+/-
13114,0,simple,850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,396,407,instock,instock,True,stock+/-
19818,19817,variation,748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,44,45,instock,instock,True,stock+/-
19044,19043,variation,850016779373,BROWNIE CHOCOLATE FUDGE,274,229,instock,instock,True,stock+/-
11247,0,simple,850030689467,NAC REVIVE,17,20,instock,instock,True,stock+/-
19259,19253,variation,817189028523,AMINO K.E.M SOUR CANDY- EVOGEN,8,7,instock,instock,True,stock+/-
18871,18869,variation,745560722039,L- CARNITINA 3500 MANGO ALEGRE IMPULSE,13,11,instock,instock,True,stock+/-
20388,19205,variation,705016358205,ISO 100 VAINILLA 20 SERV. 1.34 LBS DYMATIZE,205,204,instock,instock,True,stock+/-
19294,19289,variation,817189020206,GLYCOJECT DE 2LB WILD BERRY EVOGEN,8,6,outofstock,instock,True,stock+/-
14422,0,simple,799142775449,HORMONAL BALANCE 90 CAPSULAS- LANDERFIT,55,57,instock,instock,True,stock+/-
19311,19304,variation,810121053560,EVP 3D STRAWBERRY LEMONADE-EVOGEN,8,7,instock,instock,True,stock+/-
19318,19304,variation,817189024600,EVP-3D TROPIC THUNDER-EVOGEN,7,4,outofstock,instock,True,stock+/-
19357,19354,variation,810121051290,CARNIGEN PREMIUN LIQUID RAINBON CANDY-EVOGEN,28,29,instock,instock,True,stock+/-
19875,19871,variation,748927051308,AMINO ENERGY WATERMELON 585G,98,104,instock,instock,True,stock+/-
128,0,simple,703556204808,COLAGENO DR. JOINT PROFESSIONAL JOINT SUPPORT TUTTI FRUTTI 52 SERV. IMPULSE,64,62,instock,instock,True,stock+/-
19317,19304,variation,817189027762,EVP 3D SOUR CANDY- EVOGEN,11,10,instock,instock,True,stock+/-
19011,19008,variation,612590415845,"PREMIUM WHEY STRAWBERRY 2,06 LBS-LANDERFIT",7,1,outofstock,instock,True,stock+/-
18190,18186,variation,745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,318,314,instock,instock,True,stock+/-
19312,19304,variation,817189024617,EVP 3D PEACH RINGS-EVOGEN,5,4,outofstock,instock,True,stock+/-
14413,0,simple,799142775425,BODY RESTORE 60 CAPSULAS- LANDERFIT,30,31,instock,instock,True,stock+/-
19735,19734,variation,810121056141,LIPOCIDE-IR TANGERINE-EVOGEN,18,21,instock,instock,True,stock+/-
19736,19734,variation,817189027793,LIPOCIDE- IR FRUIT PONCHS-EVOGEN,42,33,instock,instock,True,stock+/-
9215,0,simple,799142775432,DIURETICO 40 CAPSULAS LANDERFIT,15,21,instock,instock,True,stock+/-
18188,18186,variation,703556204822,PROLIVE BIO5 WHITE CHOCORAINBOW DE 5 LB IMPULSE,49,41,instock,instock,True,stock+/-
11242,0,simple,850030689283,VITAMIN K2 & D3 REVIVE,10,16,instock,instock,True,stock+/-
19305,19304,variation,8101210579694,EVP 3D JUCY GRAPPE EVOGEN,8,9,instock,instock,True,stock+/-
19827,19826,variation,748927060133,GOLD STANDAR WHEY VAINILLA ICE CREAM 1.5 LBS 22 SERVING,7,6,outofstock,instock,True,stock+/-
109,0,simple,745560722022,"GLUTA MAX GLUTAMINA MICRONISADA, 80 SERV. 400G (UNFLAVORED) IMPULSE",18,13,instock,instock,True,stock+/-
