sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,cambiara
810121053737,EVOFUSION COOKIES AND CREAM 4.6 LBS EVOGEN,variation,0,outofstock,0,outofstock,0,no
850030689450,VITAMIN D3 REVIVE,simple,110,instock,110,instock,0,no
810014671598,ZING CHELATE 120 CAPSULAS,simple,2,instock,2,outofstock,0,SI
817189028264,AMINO K.E.M BLUEBERRY APPLE-EVOGEN,variation,6,instock,6,outofstock,0,SI
612590416675,REDS & GREENS GREEN APPLE 30 SERV- LANDERFIT,variation,27,instock,27,instock,0,no
799142775449,HORMONAL BALANCE 90 CAPSULAS- LANDERFIT,simple,55,instock,57,instock,2,SI
810121053560,EVP 3D STRAWBERRY LEMONADE-EVOGEN,variation,8,instock,7,instock,-1,SI
850026029055,WHEY 100% VAINILLA 2 LBS NUTREX,variation,26,instock,26,instock,0,no
817189024600,EVP-3D TROPIC THUNDER-EVOGEN,variation,7,instock,4,outofstock,-3,SI
810121057001,HIDRATACION WATERMELON,variation,16,instock,16,instock,0,no
713101732144,VEGANA ULTRA DE COCO 3 LBS IMPULSE,variation,5,instock,5,outofstock,0,SI
705016353187,PROTEINA ISO 100 GURMET CHOCOLATE 5 LBS DYMATIZE,variation,4,instock,4,outofstock,0,SI
748927059144,AMINO ENERGY JUICY STRAWBERRY 270 G,variation,0,outofstock,0,outofstock,0,no
810014675367,NAC 120 CAPSULAS,simple,60,instock,60,instock,0,no
748927062113,AMINO ENERGY BLUEBERRY LIMON 270 G,variation,5,instock,5,outofstock,0,SI
810121051290,CARNIGEN PREMIUN LIQUID RAINBON CANDY-EVOGEN,variation,28,instock,29,instock,1,SI
842595131741,C4 PERFORMANCE 16OZ ATOMIC GRAPE,variation,58,instock,58,instock,0,no
810390028313,ALPHA AMINO 30 SERV. ICY BLUE RAZZ CELLUCOR,variation,16,instock,16,instock,0,no
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,variation,3269,instock,3269,instock,0,no
860007286902,CBUM PROTEINA  ISOLATADA 2 LBS VAINILLA OATMEAL COOKIES,variation,12,instock,12,instock,0,no
810121057995,AMINO K.E.M CITRUS CANDY- EVOGEN,variation,7,instock,7,instock,0,no
810014671659,COQ10 60 CAPSULAS,simple,2,instock,2,outofstock,0,SI
817189024532,AMINO K.E.M SOUR WATERMELON- EVOGEN,variation,8,instock,8,instock,0,no
748927051308,AMINO ENERGY WATERMELON 585G,variation,98,instock,104,instock,6,SI
745560722169,PROLIVE BIO5 CHOCO COCO DE 5 LBS IMPULSE,variation,1,instock,1,outofstock,0,SI
842595131628,C4 PERFORMANCE 16OZ CREAMISCLE,variation,67,instock,67,instock,0,no
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),variation,778,instock,778,instock,0,no
705016600366,ISO 100 BIRTHDAY CAKE PEBBLES 1.34 LBS DYMATIZE,variation,2,instock,2,outofstock,0,SI
703556204808,COLAGENO DR. JOINT PROFESSIONAL JOINT SUPPORT TUTTI FRUTTI 52 SERV. IMPULSE,simple,64,instock,62,instock,-2,SI
859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,variation,6,instock,6,outofstock,0,SI
842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,variation,58,instock,58,instock,0,no
705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,variation,113,instock,113,instock,0,no
860008634467,PROTEIN COOKIE PEANUT BUTTER,variation,74,instock,74,instock,0,no
810121057940,EVP XTREME N.O. JUCY GRAPPE-EVOGEN,variation,5,instock,5,outofstock,0,SI
705016353231,ISO 100 FUDGE BROWNIE 3 LIBRAS DYMATIZE,variation,6,instock,6,outofstock,0,SI
810014671666,ALPHA LIPOIC ACID 600 MG 120 CAPSULAS,simple,12,instock,12,instock,0,no
181030000144,XTEND ORIGINAL 90 SERV. SMASH APPLE,variation,16,instock,16,instock,0,no
810014679426,MULTIVITAMINAS 120 CAPSULAS,simple,3,instock,3,outofstock,0,SI
817189027762,EVP 3D SOUR CANDY- EVOGEN,variation,11,instock,10,instock,-1,SI
