id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,aplicado
19753,19744,variation,810121056462,ISOJECT COOKIES AND CREAM 1.82 ISOJET EVOGEN,2,2,outofstock,instock,True,si
20406,11808,variation,891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),794,779,instock,instock,True,si
19779,19778,variation,853237000837,ISOFIT 30 SERVING STRAWERRY NUTREX,14,14,instock,instock,True,no_omitido
19278,19277,variation,810121057261,HIDRATACION PEACH TEA,15,15,instock,instock,True,no_omitido
19876,19871,variation,748927055351,AMINO ENERGY GREEN APPLE 585G,3,3,outofstock,instock,True,si
19431,19430,variation,7503029523005,CELL K.E.M PR V.2 TROPIC THUNDER -EVOGEN,17,17,instock,instock,True,no_omitido
18871,18869,variation,745560722039,L- CARNITINA 3500 MANGO ALEGRE IMPULSE,13,13,instock,instock,True,no_omitido
19260,19253,variation,817189025393,AMINO K.E.M TROPIC TUNDER-EVOGEN,10,10,instock,instock,True,no_omitido
18187,18186,variation,745560722138,PROLIVE BIO5 VAINILLA DE 5 LB IMPULSE,243,243,instock,instock,True,no_omitido
19757,19744,variation,810121056721,ISOJECT ICE CREAM SANDWICH 1.82 LBS ISOJET EVOGEN,6,6,outofstock,instock,True,si
